Modèle,Accuracy,Train Loss,Val Loss,Temps (sec),Epochs entraînés,Early Stop
SimpleCNN,0.5625,0.0497717484031532,2.15743096669515,1912.84,10,True
SimpleCNN_v2,0.7291666666666666,0.6670001476971087,0.549263576666514,2120.04,9,True
SimpleCNN_v3,0.6666666666666666,0.9232548196769044,0.7243576844533285,3863.46,5,True
SimpleCNN_v3,0.7083333333333334,0.8884289741324046,0.9046663840611776,4882.74,5,True
SimpleCNN,44.08602150537634,,,0.0,0,False
SimpleCNN_v4,0.8333333333333334,0.5295271978150377,0.437684416770935,2467.62,13,True
SimpleCNN_aug1,0.7708333333333334,0.7041015420449152,0.5379306276639303,3032.01,7,True
SimpleCNN_aug2,0.75,0.8154680055399074,0.6681997179985046,2596.76,7,True
SimpleCNN_aug3,0.7291666666666666,0.7460424187381423,0.5796774625778198,7555.17,7,True
ResNet18_FeatureExtraction,0.7708333333333334,0.7358016143167826,0.7112833658854166,2931.03,10,False
ResNet18_FineTuning,0.7916666666666666,0.5499020624109549,0.5149634083112081,3545.93,10,False
SimpleCNN_v5,0.6666666666666666,0.91911678449936,0.7691765824953715,4608.03,6,True
ResNet152_FeatureExtraction,0.8125,0.6835615393874724,0.6548883120218912,3384.92,4,True
ResNet152_FeatureExtraction,0.875,0.6130302410760833,0.5968685348828634,8831.74,10,True
ResNet152_Ft,0.9375,0.0538423394311167,0.3245689968268077,8768.43,10,True
ResNet152_FeatureExtraction,0.8333333333333334,0.615209411217498,0.6038062572479248,9741.21,10,False
ResNet152_Ft,0.3333333333333333,1.13432387026501,1.1156554222106934,3886.26,4,True
ResNet152_Ft,0.8958333333333334,0.0265991829793848,0.4074806372324626,5711.26,6,True
SimpleCNN_v4,0.75,0.634510716933569,0.5851892828941345,3689.55,10,True
